record_name,release_name,model,passed,repair_rounds,note
Bcsadd100_b,Bcsadd100,o1-mini,1,1,
Bugs_addsubz,Bugs_addsubz,gpt-4,1,0,
Bugs_addsubz,Bugs_addsubz,gpt-4o,1,0,
Bugs_addsubz,Bugs_addsubz,gpt-4o-mini,1,0,
Bugs_addsubz,Bugs_addsubz,o1-mini,1,0,
Bugs_case,Bugs_case,gpt-4,1,0,
Bugs_case,Bugs_case,gpt-4o,1,1,
Bugs_case,Bugs_case,gpt-4o-mini,1,0,
Bugs_case,Bugs_case,o1-mini,1,0,
Bugs_mux2,Bugs_mux2,gpt-4,1,2,
Bugs_mux2,Bugs_mux2,gpt-4o,0,25,
Bugs_mux2,Bugs_mux2,gpt-4o-mini,0,25,
Bugs_mux2,Bugs_mux2,o1-mini,1,2,
Bugs_mux4,Bugs_mux4,gpt-4,1,3,
Bugs_mux4,Bugs_mux4,gpt-4o,1,0,
Bugs_mux4,Bugs_mux4,gpt-4o-mini,1,0,
Bugs_mux4,Bugs_mux4,o1-mini,1,1,
Bugs_nand3,Bugs_nand3,gpt-4,1,1,
Bugs_nand3,Bugs_nand3,gpt-4o,1,0,
Bugs_nand3,Bugs_nand3,gpt-4o-mini,1,0,
Bugs_nand3,Bugs_nand3,o1-mini,1,2,
buttons,buttons,gpt-4,1,10,
buttons,buttons,gpt-4o,0,25,
buttons,buttons,gpt-4o-mini,0,25,
buttons,buttons,o1-mini,0,25,
calender,,gpt-4,0,25,
calender,,gpt-4o,0,25,
calender,,gpt-4o-mini,0,25,
calender,,o1-mini,0,25,
clock,,gpt-4,0,25,
clock,,gpt-4o,0,25,
clock,,gpt-4o-mini,0,25,
clock,,o1-mini,0,25,
Conditional,Conditional,gpt-4,1,0,
Conditional,Conditional,gpt-4o,1,0,
Conditional,Conditional,gpt-4o-mini,1,0,
Conditional,Conditional,o1-mini,1,0,
Conwaylife,Conwaylife,gpt-4,0,25,
Conwaylife,Conwaylife,gpt-4o,0,25,
Conwaylife,Conwaylife,gpt-4o-mini,0,25,
Conwaylife,Conwaylife,o1-mini,0,25,
Count10,Count10,gpt-4,0,25,
Count10,Count10,gpt-4o,0,25,
Count10,Count10,gpt-4o-mini,0,25,
Count10,Count10,o1-mini,0,25,
Count15,Count15,gpt-4,0,25,
Count15,Count15,gpt-4o,0,25,
Count15,Count15,gpt-4o-mini,0,25,
Count15,Count15,o1-mini,0,25,
Count1to10,Count1to10,gpt-4,0,25,
Count1to10,Count1to10,gpt-4o,0,25,
Count1to10,Count1to10,gpt-4o-mini,0,25,
Count1to10,Count1to10,o1-mini,0,25,
Countbcd,Countbcd,gpt-4,0,25,
Countbcd,Countbcd,gpt-4o,0,25,
Countbcd,Countbcd,gpt-4o-mini,0,25,
Countbcd,Countbcd,o1-mini,0,25,
counter_12,counter_12,gpt-4,1,0,
counter_12,counter_12,gpt-4o,1,0,
counter_12,counter_12,gpt-4o-mini,1,0,
counter_12,counter_12,o1-mini,1,0,
Countslow,Countslow,gpt-4,0,25,
Countslow,Countslow,gpt-4o,0,25,
Countslow,Countslow,gpt-4o-mini,0,25,
Countslow,Countslow,o1-mini,0,25,
Count_clock,Count_clock,gpt-4,0,25,
Count_clock,Count_clock,gpt-4o,0,25,
Count_clock,Count_clock,gpt-4o-mini,0,25,
Count_clock,Count_clock,o1-mini,0,25,
Cs450_timer,Cs450_timer,gpt-4,0,25,
Cs450_timer,Cs450_timer,gpt-4o,0,25,
Cs450_timer,Cs450_timer,gpt-4o-mini,0,25,
Cs450_timer,Cs450_timer,o1-mini,0,25,
decoder_3_8,decoder_3_8,gpt-4,1,0,
decoder_3_8,decoder_3_8,gpt-4o,1,0,
decoder_3_8,decoder_3_8,gpt-4o-mini,1,0,
decoder_3_8,decoder_3_8,o1-mini,1,0,
demux_1x4,demux_1x4,gpt-4,1,0,
demux_1x4,demux_1x4,gpt-4o,1,1,
demux_1x4,demux_1x4,gpt-4o-mini,1,0,
demux_1x4,demux_1x4,o1-mini,1,0,
Dff,Dff,gpt-4,0,25,
Dff,Dff,gpt-4o,0,25,
Dff,Dff,gpt-4o-mini,0,25,
Dff,Dff,o1-mini,0,25,
Dff16e,Dff16e,gpt-4,0,25,
Dff16e,Dff16e,gpt-4o,0,25,
Dff16e,Dff16e,gpt-4o-mini,0,25,
Dff16e,Dff16e,o1-mini,0,25,
Dff8,Dff8,gpt-4,0,25,
Dff8,Dff8,gpt-4o,0,25,
Dff8,Dff8,gpt-4o-mini,0,25,
Dff8,Dff8,o1-mini,0,25,
Dff8ar_b,Dff8ar,gpt-4,0,25,
Dff8ar_b,Dff8ar,gpt-4o,0,25,
Dff8ar_b,Dff8ar,gpt-4o-mini,0,25,
Dff8ar_b,Dff8ar,o1-mini,0,25,
Dff8p_b,Dff8p,gpt-4,0,25,
Dff8p_b,Dff8p,gpt-4o,0,25,
Dff8p_b,Dff8p,gpt-4o-mini,0,25,
Dff8p_b,Dff8p,o1-mini,0,25,
Dff8r,Dff8r,gpt-4,0,25,
Dff8r,Dff8r,gpt-4o,0,25,
Dff8r,Dff8r,gpt-4o-mini,0,25,
Dff8r,Dff8r,o1-mini,0,25,
div_16bit,div_16bit,gpt-4,0,25,
div_16bit,div_16bit,gpt-4o,0,25,
div_16bit,div_16bit,gpt-4o-mini,0,25,
div_16bit,div_16bit,o1-mini,0,25,
Dualedge,Dualedge,gpt-4,1,3,
Dualedge,Dualedge,gpt-4o,1,2,
Dualedge,Dualedge,gpt-4o-mini,1,0,
Dualedge,Dualedge,o1-mini,1,19,
dual_port_ram_asynchronous,dual_port_ram_asynchronous,gpt-4,1,6,
dual_port_ram_asynchronous,dual_port_ram_asynchronous,gpt-4o,1,0,
dual_port_ram_asynchronous,dual_port_ram_asynchronous,gpt-4o-mini,1,0,
dual_port_ram_asynchronous,dual_port_ram_asynchronous,o1-mini,1,0,
dual_port_ram_synchronous,dual_port_ram_synchronous,gpt-4,1,1,
dual_port_ram_synchronous,dual_port_ram_synchronous,gpt-4o,1,0,
dual_port_ram_synchronous,dual_port_ram_synchronous,gpt-4o-mini,1,0,
dual_port_ram_synchronous,dual_port_ram_synchronous,o1-mini,1,0,
d_flip_flop,d_flip_flop,gpt-4,1,0,
d_flip_flop,d_flip_flop,gpt-4o,1,2,
d_flip_flop,d_flip_flop,gpt-4o-mini,1,1,
d_flip_flop,d_flip_flop,o1-mini,1,1,
d_flip_flop_pos_edge_sync_en,d_flip_flop_pos_edge_sync_en,gpt-4,1,1,
d_flip_flop_pos_edge_sync_en,d_flip_flop_pos_edge_sync_en,gpt-4o,1,0,
d_flip_flop_pos_edge_sync_en,d_flip_flop_pos_edge_sync_en,gpt-4o-mini,1,0,
d_flip_flop_pos_edge_sync_en,d_flip_flop_pos_edge_sync_en,o1-mini,1,0,
d_flip_flop_pulse_triggered,d_flip_flop_pulse_triggered,gpt-4,1,2,
d_flip_flop_pulse_triggered,d_flip_flop_pulse_triggered,gpt-4o,1,1,
d_flip_flop_pulse_triggered,d_flip_flop_pulse_triggered,gpt-4o-mini,1,1,
d_flip_flop_pulse_triggered,d_flip_flop_pulse_triggered,o1-mini,1,0,
ece241_2013_q12,ece241_2013_q12,gpt-4,0,25,
ece241_2013_q12,ece241_2013_q12,gpt-4o,0,25,
ece241_2013_q12,ece241_2013_q12,gpt-4o-mini,0,25,
ece241_2013_q12,ece241_2013_q12,o1-mini,0,25,
ece241_2013_q2,ece241_2013_q2_alt,gpt-4,0,25,
ece241_2013_q2,ece241_2013_q2_alt,gpt-4o,0,25,
ece241_2013_q2,ece241_2013_q2_alt,gpt-4o-mini,0,25,
ece241_2013_q2,ece241_2013_q2_alt,o1-mini,1,4,
ece241_2013_q4,ece241_2013_q4,gpt-4,0,25,
ece241_2013_q4,ece241_2013_q4,gpt-4o,0,25,
ece241_2013_q4,ece241_2013_q4,gpt-4o-mini,0,25,
ece241_2013_q4,ece241_2013_q4,o1-mini,0,25,
ece241_2013_q7,ece241_2013_q7,gpt-4,0,25,
ece241_2013_q7,ece241_2013_q7,gpt-4o,0,25,
ece241_2013_q7,ece241_2013_q7,gpt-4o-mini,0,25,
ece241_2013_q7,ece241_2013_q7,o1-mini,0,25,
ece241_2014_q1c_b,ece241_2014_q1c,gpt-4,1,1,
ece241_2014_q1c_b,ece241_2014_q1c,gpt-4o,1,0,
ece241_2014_q1c_b,ece241_2014_q1c,gpt-4o-mini,1,0,
ece241_2014_q1c_b,ece241_2014_q1c,o1-mini,1,0,
ece241_2014_q5a,ece241_2014_q5a,gpt-4,0,25,
ece241_2014_q5a,ece241_2014_q5a,gpt-4o,0,25,
ece241_2014_q5a,ece241_2014_q5a,gpt-4o-mini,0,25,
ece241_2014_q5a,ece241_2014_q5a,o1-mini,0,25,
ece241_2014_q7a,,gpt-4,0,25,
ece241_2014_q7a,,gpt-4o,0,25,
ece241_2014_q7a,,gpt-4o-mini,0,25,
ece241_2014_q7a,,o1-mini,0,25,
ece241_2014_q7b,,gpt-4,0,25,
ece241_2014_q7b,,gpt-4o,0,25,
ece241_2014_q7b,,gpt-4o-mini,0,25,
ece241_2014_q7b,,o1-mini,0,25,
Edgecapture,Edgecapture,gpt-4,0,25,
Edgecapture,Edgecapture,gpt-4o,0,25,
Edgecapture,Edgecapture,gpt-4o-mini,0,25,
Edgecapture,Edgecapture,o1-mini,0,25,
Edgedetect,Edgedetect,gpt-4,0,25,
Edgedetect,Edgedetect,gpt-4o,0,25,
Edgedetect,Edgedetect,gpt-4o-mini,0,25,
Edgedetect,Edgedetect,o1-mini,0,25,
Edgedetect2,Edgedetect2,gpt-4,0,25,
